"","V1"
"816","Genetic variation in growth, stem straightness, pilodyn and dynamic modulus of elasticity in second-generation progeny tests of Acacia mangium at three sites in Vietnam@@@@@@Received: 30 July 2014 Accepted: 23 April 2015 Published: 28 April 2015 Issue Date: July 2015@@@164 open-pollinated families of Acacia mangium from six different genetic groups were tested in three second-generation progeny tests planted at Tuyen Quang and Ba Vi in northern Vietnam and Bau Bang in the south. All trees were measured to estimate individual heritabilities and genetic correlations for growth traits, stem straightness and pilodyn in the three trials, and dynamic modulus of elasticity (MoEd) of standing trees was only assessed in Tuyen Quang. There were significant differences between families for growth traits, stem straightness, pilodyn penetration and predicted MoEd. Heritabilities of growth traits, stem straightness, pilodyn and dynamic modulus of elasticity were low to moderate (h2 = 0.11–0.30). The coefficient of additive genetic variation for DBH, pilodyn and MoEd were moderate at age 3 or 4 years (CVa = 4.9–9.4 %). Genetic correlations between stem straightness, pilodyn and growth traits were favourable but weak, while those between growth traits and dynamic modulus of elasticity were weak and unfavourable. The substantial coefficients of additive genetic variation and significant heritabilities for all traits indicate that it should be possible to use a selection strategy that combines improvements in growth, stem straightness, and wood quality for A. mangium in Vietnam. The site–site genetic correlations between the two northern trials and Bau Bang site were low for growth traits, indicating that G × E effects are of practical importance for growth and different deployment populations will be required for different sites.@@@Acacia mangium
Genetic variation
Growth
Pilodyn
Wood stiffness"
"817","Development of eastern cottonwood cuttings as modified by cutting length and surface area available for rooting@@@@@@Received: 02 July 2014 Accepted: 10 April 2015 Published: 26 May 2015 Issue Date: July 2015@@@Eastern cottonwood (Populus deltoides Bartr. ex Marsh.) is commonly propagated using un-rooted cuttings. While cutting length and diameter, genetics and environmental conditions are often cited as major factors contributing to the successful establishment of cottonwood plantations, it is difficult to determine which specific cutting characteristic or mechanism leads to improved root establishment or plant development. For example, increasing stem size can affect rooting and subsequent plant growth by altering the cutting energy reserves as well as the surface area from which latent roots develop. In this study, the contribution of cutting length and belowground surface area to rooting and early growth was examined for eastern cottonwood. To discern cutting length effects, the belowground portion of four different cutting lengths was restricted so each cutting had the same belowground surface area available for rooting. To discern surface area effects, 40-cm-long cuttings were restricted to produce four different levels of surface area from which roots could develop. Leaf area, stem height, aboveground and belowground biomass, and root numbers were measured after 13 weeks of growth. The only statistically significant relationships related to biomass were due to the initial differences in cutting length. Cuttings with greater surface areas formed more lateral roots, while longer cuttings did not. By contrast, increased cutting lengths resulted in greater numbers of basal roots, but not for cuttings with greater belowground surface areas.@@@Root formation
Populus deltoides
Adventitious rooting
Biomass"
"818","Effects of grass clearing and soil tilling on establishment of planted tree seedlings in tropical riparian pastures@@@@@@Received: 23 June 2014 Accepted: 24 March 2015 Published: 29 March 2015 Issue Date: July 2015@@@Anthropogenic disturbances frequently exceed resilience of riparian forests. In small-scale restoration projects revegetation is a common technique, but its success depends on the plant species used and some environmental filters. We investigated whether grass competition and soil compaction together with seasonal drought and flooding limit the establishment of seven tree species experimentally planted in abandoned riparian pastures in Southern Mexico. We tested the effects of grass clearing and soil tilling and analyzed seasonal variation of vertical distance to water level, and changes in tree performance, microclimate, and vegetation biomass after planting. Seedling survival was low (19 ± 3 %), ranging between 3 (Brosimum alicastrum, Moraceae) and 38 % (Pachira aquatica, Bombacaceae). Survival was negatively correlated to vertical distance to water level, highlighting the importance of the short but severe dry season that may occur in the humid tropics, which reduced survival by >60 %. Flooding events also produced high seedling mortality (80 % after the two first events). Clearing but not tilling enhanced seedling survival. Clearing also significantly increased seedling growth of some species, suggesting competition release. Tilling did not have any consistent effect on growth, but it appears to counteract the positive effects of clearing. Both pre-existing and planted trees ameliorated microclimate to produce better conditions for establishment of new trees following natural regeneration. We conclude that clearing can enhance seedling establishment in riparian abandoned tropical pastures, but other revegetation treatments intended to reduce soil drying and uprooting by flooding during early establishment should be evaluated to improve the cost-benefit of restoring riparian forest.@@@Growth
Lacandona
Mexico
Microclimate
Restoration
Survival"
"819","Tree squirrel seed predation patterns may influence American chestnut restoration success@@@@@@Received: 05 August 2014 Accepted: 24 February 2015 Published: 01 March 2015 Issue Date: July 2015@@@Restoration of the functionally extirpated American chestnut (Castanea dentata) to landscapes of the eastern United States is planned with the successful propagation of a blight-resistant hybrid tree. Predicting the response of rodent seed consumers to this novel source of mast will be critical to restoration success, as rodents are important seed predators and dispersers in forests that once included chestnut. In particular, frequency-dependent foraging responses by rodents could affect the rate of spread of rare chestnuts following reintroductions. We conducted field trials to test for seed preferences and frequency-dependent selection by fox squirrels (Sciurus niger) when combinations of American chestnut and two common associates [northern red oak (Quercus rubra) and white oak (Q. alba)] were available in varying frequencies. Fox squirrels tended toward positive frequency-dependent seed predation when combinations of white oak and chestnuts were available, consuming more common mast items at a higher rate than expected based on availability. No preferences were observed between American chestnut and either red or white oak independent of frequency, but red oak was preferred over white oak. Frequency-dependent consumption of more common white oak acorns could benefit rarer chestnut during restoration, as squirrels would feed disproportionately on established white oak; however, this management strategy should only be considered following larger-scale and longer-term studies that consider impacts on white oak regeneration. Lack of preference or frequency dependence for chestnut when paired with red oak suggests that negative impacts of fox squirrel consumption on restoration will vary with the relative availability of the two seed types.@@@Castanea dentata
Forest restoration
Frequency dependence
Sciurus niger
Seed dispersal
Seed predation"
"820","Impact of aqueous extracts of Cinnamomum septentrionale leaf litter on the growth and photosynthetic characteristics of Eucalyptus grandis seedlings@@@@@@Received: 22 July 2014 Accepted: 18 February 2015 Published: 28 February 2015 Issue Date: July 2015@@@The effects of C. septentrionale leaf litter aqueous extracts (CLAE; controls: 0 g pot−1, A1: 40 g pot−1, A2: 80 g pot−1, A3: 120 g pot−1) on seedling growth, chlorophyll content and photosynthesis of Eucalyptus grandis Hill ex Maid were examined. The CLAE at 80 or 120 g pot−1 significantly decreased net photosynthetic rate (P n), transpiration rate (T r) and intercellular CO2 concentration (C i), followed by a reduction of relative height growth and basal diameter growth. Under light saturation, apparent quantum yield, light-saturated photosynthetic rate (P n max) in all treated groups and light respiration (R d) in A1 and A2 showed a decreasing trend, whereas light compensation point and light saturation point had an increased tendency. Under CO2 concentration saturation, carboxylation rate, P n max and light respiration (R p) first increased (A1) and dramatically decreased (A2 and A3) thereafter, whereas CO2 compensation point and CO2 saturation point increased. However, all parameters of the chlorophyll content of E. grandis seedlings were found to decrease with increased concentrations of CLAE. The results demonstrate that the aqueous extracts from C. septentrionale leaf litter have allelopathic potential and that a higher concentration of CLAE presents a risk or disadvantage to the growth of E. grandis seedling which suggests that the growth of E. grandis seedlings could be inhibited when planted under or near mature C. septentrionale plantation, and it is better not to develop mixed-plantation of C. septentrionale and E. grandis.@@@Cinnamomum septentrionale
Eucalyptus grandis
Allelopathy
Photosynthetic rate
Photosynthetic response to PPFD and C i
Chlorophyll
Growth"
"821","The impact of light quality and quantity on root-to-shoot ratio and root carbon reserves in aspen seedling stock@@@@@@Received: 26 June 2014 Accepted: 14 February 2015 Published: 04 March 2015 Issue Date: July 2015@@@The available evidence suggests that for trembling aspen (Populus tremuloides) seedlings, a high root-to-shoot ratio (R:S) and high root total non-structural carbohydrate (NSC) concentration are the best predictors of future growth and outplanting success in harsh reclamation environments. To facilitate more consistent production of aspen seedlings with these characteristics requires the identification of the environmental conditions most responsible for directing resources to growth or to reserve storage. During nursery production, aspen seedlings are often sheltered from environmental stressors in greenhouses and exposed to variation in light quality and quantity, compared to outside conditions; the common result is that greenhouse grown seedlings exhibit greater allocation to shoot growth rather than to root structures and reserves. It is currently unclear whether this imbalance in R:S is the result of stronger environmental controls within a greenhouse on factors such as relative humidity, wind and temperature or rather on differences in the quantity and quality of light. In this study, we sought to determine what influence differences in both light quality and quantity, along with sheltering, has on the development of desired characteristics in aspen seedlings. To do so, we grew aspen seedlings in the field under one of six light treatments [unsheltered, full-sun (100 % full-sun); sheltered, full-sun (~90 %): sheltered, shaded (~40 %): sheltered, shaded blue (~40 %); sheltered, shaded red (~40 %); and sheltered, shaded low red/far-red ratio (~40 %)] to identify the combination of sheltering, light quality and quantity with the greatest influence on R:S and root NSC. The largest increase in desired characteristics was a peak in R:S and in root NSC for seedlings grown under unsheltered, full-sun conditions. These results suggest that growing seedlings outside, with pre-exposure to more stressful conditions prior to bud hardening, is the driver for the desired characteristics in species with indeterminate growth strategies such as aspen seedling stock.@@@Light spectrum
PAR
Aspen
Non-structural carbohydrates
Root-to-shoot ratio
Growth and reserve storage"
"822","Vegetative rescue and cloning of Eucalyptus benthamii selected adult trees@@@@@@Received: 15 May 2014 Accepted: 10 February 2015 Published: 17 February 2015 Issue Date: July 2015@@@Eu calyptus benthanii presents great aptitude for cultivation in American continent, and due to its origin from western Sydney, NSW, Australia, is especially recommended for regions with cold climates and frequent frosts. Taking their optimal silvicultural performance into account, selected genotypes will certainly represent an excellent alternative for future plantations. The cloning of superior genotypes is accomplished by vegetative propagation of mature trees, and requires physiologically juvenile or rejuvenated material. Special techniques are necessary to reverse the juvenility and adult tree recovery and promote favorable growth and rooting conditions. In the specific case of Eucalyptus sp., the most common vegetative rescue method used by forestry companies to obtain shoots (i.e., propagules) is the coppicing of adult trees, a technique which provides excellent juvenile shoots, favoring the adventitious rooting in cuttings. Cloning techniques are required to vegetative rescue and germoplasm banks formation of selected trees. The present study aimed to evaluate the vegetative rescue after the selection of phenotypes with superior silvicultural characteristics to clone adult trees of E. benthamii, evaluating which technique presented the best cloning result. The cuttings from canopy branches, epicormic shoots from the first (lowest) canopy branches, shoots obtained from girdling and shoots from the pruning of canopy branches were submitted to micropropagation, cutting, and microcutting techniques for each shoot type. Among the key findings for vegetative rescue and cloning, the percentage of in vitro establishment of epicormic shoot (79.2 %), ex vitro rooting (75.0 %) and acclimatization (27.8 %) were suitable. The cuttings of sprouts from girdling stood out as having rooting (18.7 % from greenhouse and 14.3 % from mini-incubator) and acclimation (11.2 % from greenhouse and 9.0 % from mini-incubator). The others vegetative propagations techniques tested did not result in shoot survival, rooting or acclimation.@@@Vegetative propagation
Micropropagation
Cutting
Microcutting
Epicormic shoots"
"823","Modelling the influence of light, water and temperature on photosynthesis in young trees of mixed Mediterranean forests@@@@@@Received: 09 June 2014 Accepted: 05 February 2015 Published: 20 February 2015 Issue Date: July 2015@@@The composition of Mediterranean forests is expected to vary with ongoing changes in climate and land use. To gain a clearer understanding of the response to global change of growth and survival during regeneration it is necessary to take a closer look at the ecophysiological traits underlying seedling performance. Gas exchange, leaf water potential, chlorophyll fluorescence, soil moisture, temperature and global site factor were measured over 1 year in naturally regenerated young trees of three coexisting species (Pinus pinea, Quercus ilex and Juniperus oxycedrus) in two stands of different density. We modelled the photosynthetic response of plants to micro-climatic conditions via the parameterization of the non-rectangular hyperbolic model of photosynthesis, which relates gross photosynthesis to incident light through three biochemical parameters, and the subsequent expansion of these parameters as a function of environmental variables (light environment, soil moisture and temperature). We investigated the relationship between different photosynthetic performance and the species-specific strategies to cope with stress (stress tolerant or avoiders). The optimal light environment, defined through the global site factor (GSF), and the regeneration niche to maximize carbon assimilation differed between the three species. P. pinea showed high sensitivity to water availability in agreement with a drought avoidance strategy, attaining the maximum photosynthetic capacity of the three species following the spring rainfall. Q. ilex was the most thermophilic and light-demanding of the species. Under high light conditions, J. oxycedrus was more drought tolerant and displayed higher net CO2 assimilation than P. pinea over the course of a growing period. Optimal locations for P. pinea regeneration are below-crown environments, while for J. oxycedrus regeneration the optimal locations are open gaps. Q. ilex regeneration occupy open gaps where the other two species are unable to establish themselves because of excessive light, temperature or very low water availability. Competition between species will occur under a canopy gap fraction of 0.5. Higher GSF values will exclusively favour the regeneration of Q. ilex.@@@Regeneration niches
Net assimilation rate
Pine-holm oak mixed stands
Juniper
Light environment
Non-rectangular hyperbolic model"
"824","Restoring forests: What constitutes success in the twenty-first century?@@@@@@Published: 05 October 2015 Issue Date: November 2015@@@Forest loss and degradation is occurring at high rates but humankind is experiencing historical momentum that favors forest restoration. Approaches to restoration may follow various paradigms depending on stakeholder objectives, regional climate, or the degree of site degradation. The vast amount of land requiring restoration implies the need for spatial prioritization of restoration efforts according to cost-benefit analyses that include ecological risks. To design resistant and resilient ecosystems that can adapt to emerging circumstances, an adaptive management approach is needed. Global change, in particular, imparts a high degree of uncertainty about the future ecological and societal conditions of forest ecosystems to be restored, as well as their desired goods and services. We must also reconsider the suite of species incorporated into restoration with the aim of moving toward more stress resistant and competitive combinations in the longer term. Non-native species may serve an important role under some circumstances, e.g., to facilitate reintroduction of native species. Propagation and field establishment techniques must promote survival through seedling stress resistance and site preparation. An improved ability to generalize among plant functional groups in ecological niche adaptations will help to overcome site-limiting factors. The magnitude and velocity of ongoing global change necessitates rapid responses in genetics that cannot be naturally induced at valid temporal and spatial scales. The capacity for new concepts and technologies to be adopted by managers and accepted by society will depend on effective technology transfer and a community-based approach to forest restoration. The many benefits human society gains from forests requires that forest restoration considers multiple objectives and approaches to minimize trade-offs in achieving these objectives.@@@Adaptive management
Ecological resilience
Ecosystem services
Global change
Native species
Reference ecosystems"
"825","Future directions for forest restoration in Hawai‘i@@@@@@Received: 10 December 2014 Accepted: 03 August 2015 Published: 09 August 2015 Issue Date: November 2015@@@Hawai‘i has served as a model system for studies of nutrient cycling and conservation biology. The islands may also become a laboratory for exploring new approaches to forest restoration because of a common history of degradation and the growing number of restoration projects undertaken. Approximately half of the native ecosystems of Hawai‘i have been converted to non-native conditions. Many restoration projects have focused on intensively managed out plantings of native plants with emphasis on threatened and endangered species. While these projects have been effective in stabilizing plant populations, this model is often prohibitively expensive for restoration at the scale needed to protect watersheds and provide habitat for rare bird species. Here we suggest ways of rethinking ecological restoration that are applicable across the tropics, particularly on islands and fire-prone grasslands. First, we suggest making use of non-native, non-invasive species to help reclaim degraded or invaded sites or as long-term components of planned restoration outcomes. Second, we suggest incorporating remote sensing techniques to refine where restoration is carried out. Finally, we suggest borrowing technologies in plant production, weed control, and site preparation from industrial forestry to lower restoration costs. These suggestions would result in ecosystems that differ from native reference systems in some cases but which could be applied to much larger areas than most current restoration efforts while providing important ecosystem services. We also stress that community involvement is key to successful restoration, as a major goal of almost all restoration projects is to re-connect the community with the forest.@@@Restoration ecology
Fire
Invasive species
Nurseries"
"826","Forest restoration following surface mining disturbance: challenges and solutions@@@@@@Received: 11 April 2015 Accepted: 31 July 2015 Published: 09 August 2015 Issue Date: November 2015@@@Many forested landscapes around the world are severely altered during mining for their rich mineral and energy reserves. Herein we provide an overview of the challenges inherent in efforts to restore mined landscapes to functioning forest ecosystems and present a synthesis of recent progress using examples from North America, Europe and Australia. We end with recommendations for further elaboration of the Forestry Reclamation Approach emphasizing: (1) Landform reconstruction modelled on natural systems and creation of topographic heterogeneity at a variety of scales; (2) Use and placement of overburden, capping materials and organic amendments to facilitate soil development processes and create a suitable rooting medium for trees; (3) Alignment of landform, topography, overburden, soil and tree species to create a diversity of target ecosystem types; (4) Combining optimization of stock type and planting techniques with early planting of a diversity of tree species; (5) Encouraging natural regeneration as much as possible; (6) Utilizing direct placement of forest floor material combined with seeding of native species to rapidly re-establish native forest understory vegetation; (7) Selective on-going management to encourage development along the desired successional trajectory. Successful restoration of forest ecosystems after severe mining disturbance will be facilitated by a regulatory framework that acknowledges and accepts variation in objectives and outcomes.@@@Mining
Forest restoration
Landform reconstruction
Microbial communities
Soil redevelopment
Tree establishment
Forest understory vegetation"
"827","Can the use of large, alternative nursery containers aid in field establishment of Juglans regia and Quercus robur seedlings?@@@@@@Received: 09 January 2015 Accepted: 22 July 2015 Published: 02 August 2015 Issue Date: November 2015@@@Over the last 30 years in Italy, a high percentage of tree plantations have failed to achieve the objective of enhancing the quality of forest products, and also restoring/rehabilitating abandoned or degraded agricultural lands. In this study, we evaluated the effects of nursery cultivation in large, novel containers and duration of cultivation on early field establishment of 2-year-old seedlings of Quercus robur L. and Juglans regia L. Two sizes (9800 and 15,500 cm3) of a new container (Superoots Air-pot®) and one size (4900 cm3) of a traditional container (Plastecnic®) were tested and seedlings were sampled for shoot and root growth and biomass allocation. Prolonging the cultivation period to 2 years had a positive effect on both species, with a marked increase in above- and below-ground biomass, maintaining a desirable balance between shoot and root systems. Both sizes of Air-pots for Q. robur and the bigger Air-pot for J. regia produced seedlings that were taller than 1.5 m, with a low branch component combined with a high frequency of apical dominance. The quantity and size of first order lateral roots varied between years within containers, and increased in deeper substrate layers during the second year. Early field results did not show marked signs of transplanting stress, but with low height growth in all treatments. Seedlings grown in both Air-pots exhibited well-developed and well-structured root and shoot systems, thus showing promise in the establishment of high quality timber plantations of fine hardwoods; such attributes can be beneficial wherever proper seedling shoot and/or root sizes confer an advantage in reforestation and restoration scenarios.@@@Persian walnut
Pedunculate oak
Nursery stock quality
Shoot-to-root ratio
First order lateral roots
Field performance"
"828","Considerations for restoring temperate forests of tomorrow: forest restoration, assisted migration, and bioengineering@@@@@@Received: 17 December 2014 Accepted: 20 July 2015 Published: 02 August 2015 Issue Date: November 2015@@@Tomorrow’s forests face extreme pressures from contemporary climate change, invasive pests, and anthropogenic demands for other land uses. These pressures, collectively, demand land managers to reassess current and potential forest management practices. We discuss three considerations, functional restoration, assisted migration, and bioengineering, which are currently being debated in the literature and have the potential to be applied independently or concurrently across a variety of scales. The emphasis of functional restoration is to reestablish or maintain functions provided by the forest ecosystem, such as water quality, wildlife habitat, or carbon sequestration. Maintaining function may call upon actions such as assisted migration—moving tree populations within a species current range to aid adaptation to climate change or moving a species far outside its current range to avoid extinction—and we attempt to synthesize an array of assisted migration terminology. In addition, maintenance of species and the functions they provide may also require new technologies, such as genetic engineering, which, compared with traditional approaches to breeding for pest resistance, may be accomplished more rapidly to meet and overcome the challenges of invasive insect and disease pests. As managers develop holistic adaptive strategies to current and future anthropogenic stresses, functional restoration, assisted migration, and bioengineering, either separately or in combinations, deserve consideration, but must be addressed within the context of the restoration goal.@@@Functional restoration
Assisted migration
Bioengineering
Climate change
Forest management"
"829","Evaluating the evolution of forest restoration research in a changing world: a “big literature” review@@@@@@Received: 23 December 2014 Accepted: 13 July 2015 Published: 18 July 2015 Issue Date: November 2015@@@In a rapidly changing world, characterized by novel ecological scenarios and fluctuating socioeconomic and ecological demands, ecological restoration practices must constantly adapt to emerging issues and circumstances. Restoration ecology, the scientific discipline that informs ecological restoration, must therefore evolve and expand its focus to address this need. To describe and evaluate the evolution of research pertaining to the ecological restoration of forests within the field of forestry, we performed a review of all 29,766 abstracts published over the last 35 years (1980–2014) in 15 leading forestry journals using automated content analysis, a machine learning-based tool for automated review of large volumes of literature (“big literature”). We found not only a 50-fold increase in the prominence of restoration ecology in forestry literature from 2000 to 2013, but also an evolution in the focus of forest restoration research. This evolution is likely in response to emerging topics and issues affecting forest restoration, such as exotic species, altered disturbance regimes, degraded tropical forests, and ecosystem services. Our results also revealed a pattern of “cyclic development,” in which research in the 1990s was focused on constructing theoretical frameworks, in the 2000s research appeared to be concentrated on restoration practices and programs, while in the 2010s research revisited established theoretical frameworks, possibly indicating a conceptual expansion. Our study highlighted gaps in research on important topics and emerging challenges, such as global climate change, genetic considerations, landscape-level factors, and restoring degraded systems, thus pointing the way for new and necessary research directions.@@@Automated content analysis (ACA)
Big literature
Biodiversity
Cyclic development
Degraded
Literature review"
"830","Development of ecosystem structure and function on reforested surface-mined lands in the Central Appalachian Coal Basin of the United States@@@@@@Received: 02 December 2014 Accepted: 08 July 2015 Published: 02 August 2015 Issue Date: November 2015@@@Surface mining in the Appalachian Coal Basin drastically disturbs the landscape. Post-mining reforestation efforts have reached reliable tree survivability and growth; however, it is unclear whether these reforestation efforts also restore the ecological functions associated with the native forest ecosystem. The objectives of this study were to quantify the rate at which certain key ecosystem functions return to the landscape, and to relate the development of those functions to structural attributes of the ecosystem. A chronosequence of four reclaimed and reforested stands (ages 5, 11, 21 and 30 years) and unmined reference stands representing pre-mining conditions, were identified on the Appalachian Plateau in southwestern Virginia. Total soil nitrogen (N) and component (mineral soil, forest floor, root, and aboveground biomass) ecosystem carbon (C) pools were quantified. Throughout the growing season, monthly samples for soil gas fluxes [i.e., carbon dioxide (CO2), nitrous oxide (N2O) and methane (CH4)], available inorganic-N [nitrate (NO3−) and ammonium (NH4+)], and total and active microbial biomass were measured. As expected, soil organic C (SOC) and total ecosystem C returned to the mined landscape, although at levels still less than half of the unmined reference after 30 years. Ecosystem C accumulation was significantly correlated with soil N (r = 0.80; p = 0.0003) as well as total and active microbial biomass (r = 0.92; p = <0.0001 and r = 0.86; p = <0.0001, respectively). Surprisingly, available inorganic-N and gas fluxes of CO2 and N2O showed no significant differences among any of the mined and unmined stands; however, the reforested mined soils showed a significantly diminished capacity for CH4 uptake, where upland soils typically represent the largest global biogenic sink of atmospheric CH4. Thus, although many ecosystem components (e.g., forest and microbial biomass) and functions (e.g., N cycling), rapidly returned to the reclaimed landscape, some critical ecosystem functions (e.g., methanotrophy) exhibited a fundamentally different rate of return, if present at all. Our results indicate that reforestation of native hardwoods on reclaimed surface mined lands is largely successful at restoring many ecosystem functions, but that certain functional attributes are decoupled from the observed redevelopment of ecosystem structure. Thus, reforestation and forest ecosystem restoration are not necessarily the same thing, and a better understanding of potential disconnects between the two concepts can be critical in guiding both the science and the practice into the future.@@@Reforestation
Surface mining
Ecological function
Ecosystem development
Forest soils
Carbon and nutrient cycling
Microbial biomass"
"831","Future landscapes: opportunities and challenges@@@@@@Received: 11 March 2015 Accepted: 01 July 2015 Published: 12 July 2015 Issue Date: November 2015@@@The global magnitude of degraded and deforested areas is best approached by restoring landscapes. Heightened international perception of the importance of forests and trees outside forests (e.g., woodlands, on farms) demands new approaches to future landscapes. The current need for forest restoration is two billion ha; most opportunities are mosaic restoration in the Tropical and Temperate Zones where human pressure is moderate. A rapidly changing global environment introduces uncertainty, however, that questions the usefulness of success criteria based on present or past ecosystems conditions. Considerable uncertainty arises from future climate and the timing of significant departures from current conditions, social system responses to drivers of global change, and ecosystem responses to changes in coupled socio-ecological systems. Three active approaches to reducing vulnerability and increasing adaptive capacity (incremental, anticipatory, transformational adaptation) differ in their future orientation but share similar objectives of favoring genotypes adapted to future conditions; resisting pathogens; managing herbivory to ensure adequate regeneration; encouraging species and structural diversity at the stand-level, landscape-level, or both; and providing connectivity and reducing fragmentation. Integrating attempts to restore landscapes and mitigate and adapt to climate change may synergistically increase adaptive capacity. Behavioral, institutional, and/or social barriers to implementing change can stop or delay adaptation. Stratagems for overcoming these barriers include conducting “risky” research that pushes the bounds of knowledge and practice and developing plant materials adapted to future conditions.@@@Functional restoration
Adaptation
Climate change
Socio-ecological systems"
"832","The role of stored carbohydrates and nitrogen in the growth and stress tolerance of planted forest trees@@@@@@Received: 10 March 2015 Accepted: 23 June 2015 Published: 02 July 2015 Issue Date: November 2015@@@Plants store compounds that supplement external resources to maintain primary functions. We reviewed the role of stored non-structural carbohydrates (NSC) and nitrogen (N) in juvenile woody species for spring growth and cold and drought stress tolerance, which are crucial processes for early performance of forest plantations. Plant functional types differed in NSC and N partitioning and allocation to new growth. In general, however, new leaves/shoots were more enriched in remobilized resources than new fine roots. Conifers used less remobilized resources than broadleaf species for fine root growth. New shoots/leaves were mostly comprised of remobilized N (>60 %) in conifers and broadleaf deciduous species, while broadleaf evergreens relied more on soil N (<50 % remobilized N). In contrast, few differences among functional groups existed in the contribution of remobilized carbon (C) to new leaves/shoots, which comprised 28–45 % of stored C reflecting the importance of current photosynthesis and distinctions in C and N remobilization physiology. The amount of N remobilized by an organ was positively related to its contribution to seedling N content. However, leaves are priority N sources in evergreens, which remobilized more N than predicted by their contribution to seedling N content. In contrast, roots in broadleaf evergreens and conifers were poor contributors of remobilized N. Under low stress, spring growth has little effect on NSC reserves. However, prolonged and intense photosynthesis depression strongly reduces NSC. In contrast, N reserves usually decline after planting and their replenishment takes longer than for NSC reserves. Strong storage reduction can hinder seedling stress acclimation and survival capacity. Resource storage can be promoted in the nursery by arresting plant growth and supplying resources at a higher rate than seedling growth and maintenance rate. We conclude that the way in which woody plants manage stored resources drives their growth and stress tolerance. However, plant functional types differ in storage physiology, which should be considered in silvicultural management.@@@Cultivation practices
Growth
Plantation establishment
Remobilization
Reserves"
"833","Establishing Quercus ilex under Mediterranean dry conditions: sowing recalcitrant acorns versus planting seedlings at different depths and tube shelter light transmissions@@@@@@Received: 30 January 2015 Accepted: 10 June 2015 Published: 17 June 2015 Issue Date: November 2015@@@Success of Mediterranean dry areas restoration with oaks is a challenging goal. Testing eco-techniques that mimic beneficial effects of natural structures and ameliorate stress contributes to positive solutions to overcoming establishment barriers. We ran a factorial experiment in a dry area, testing two levels of solid wall transmission of tube shelters (60 and 80 %) plus a control mesh, and two depths (shallow and 15 cm depth) of placing either planted seedlings or acorns of Quercus ilex. Microclimate of the planting or sowing spots was characterized by measuring photosynthetically active radiation, temperature and relative humidity. Plant response was evaluated in terms of survival, phenology, acorn emergence and photochemical efficiency (measured through chlorophyll fluorescence). We hypothesize that tube shelters and deep planting improve Q. ilex post-planting and sowing performance because of the combined effects of reducing excessive radiation and improving access to moist soil horizons. Results show that temperature and PAR was reduced, and relative humidity increased, in deep spots. Midsummer photochemical efficiency indicates highest level of stress for oaks in 80 % light transmission shelter. Optimum acorn emergence in spring was registered within solid wall tree shelters, and maximum summer survival of germinants and of planted seedlings occurred when acorns or seedlings were placed at 15 cm depth irrespectively of light transmission of shelter. Survival of germinants was similar to that of planted seedlings. The importance of techniques to keep high levels of viability after sowing recalcitrant seeds in the field is emphasized in the study.@@@Holm oak
Planting depth
Tree shelters
Chlorophyll fluorescence
Forest restoration
Direct seeding"
"834","Intraspecific variation in Fraxinus pennsylvanica responses to emerald ash borer (Agrilus planipennis)@@@@@@Received: 01 December 2014 Accepted: 10 June 2015 Published: 21 June 2015 Issue Date: November 2015@@@The emerald ash borer (EAB; Agrilus planipennis Fairmaire) is a bark and wood boring beetle native to east Asia that was first discovered in North America in 2002. Since then, entire stands of highly susceptible green ash (Fraxinus pennsylvanica Marshall) have been killed within a few years of infestation. We have identified a small number of mature green ash trees which have been attacked by EAB, yet survived the peak EAB infestation that resulted in mortality of the rest of the ash cohort. Adult landing and feeding preference bioassays, leaf volatile quantification and EAB egg bioassay experiments were used to characterize potential differences in responses of these select “lingering” green ash trees relative to known EAB susceptible controls. Three selections were identified as being significantly less preferred for adult feeding, but no specific leaf volatile profile was associated with this reduced preference. Egg bioassays identified two ash selections that had significant differences in larval survival and development; one having a higher number of larvae killed by apparent host tree defenses and the other having lower larval weight. Correlation and validation of the bioassay results in replicated plantings to assess EAB resistance in the field is still necessary. However, the differences between lingering ash selections and susceptible controls measured by these bioassays indicate that more than one mechanism is responsible for the increased resistance to EAB that resulted in these selections surviving longer than their counterparts. Efforts to further increase ash resistance to EAB through use of these selections in a breeding program are underway.@@@Insect resistance
Green ash
Host plant resistance
Defense"
